Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-23,Wed,2:00 pm to 2:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 14:22
2026-09-23,Wed,2:00 pm to 2:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 14:22
2026-09-23,Wed,2:30 pm to 3:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,23 Sep 14:56
2026-09-23,Wed,2:30 pm to 3:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 14:56
2026-09-23,Wed,2:30 pm to 3:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 14:56
2026-09-23,Wed,3:00 pm to 4:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,23 Sep 15:55
2026-09-23,Wed,3:00 pm to 3:30 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,23 Sep 15:22
2026-09-23,Wed,3:00 pm to 3:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 15:22
2026-09-23,Wed,3:00 pm to 3:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 15:22
2026-09-23,Wed,3:30 pm to 4:00 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,23 Sep 15:55
2026-09-23,Wed,3:30 pm to 4:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 15:55
2026-09-23,Wed,3:30 pm to 4:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 15:55
2026-09-23,Wed,4:00 pm to 4:30 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,23 Sep 16:22
2026-09-23,Wed,4:00 pm to 4:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:22
2026-09-23,Wed,4:00 pm to 4:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,23 Sep 16:22
2026-09-23,Wed,4:30 pm to 5:00 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,23 Sep 16:55
2026-09-23,Wed,4:30 pm to 5:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,5:00 pm to 5:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,6:00 pm to 7:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Not Booked,222,23 Sep 16:55
2026-09-23,Wed,7:00 pm to 8:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Not Booked,222,23 Sep 16:55
2026-09-23,Wed,7:30 pm to 8:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,7:30 pm to 8:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,8:00 pm to 9:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Booked,222,23 Sep 16:55
2026-09-23,Wed,8:00 pm to 8:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,8:00 pm to 8:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,8:30 pm to 9:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,8:30 pm to 9:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,9:00 pm to 9:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,9:00 pm to 9:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,9:30 pm to 10:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,9:30 pm to 10:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,10:00 pm to 10:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,10:00 pm to 10:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,10:30 pm to 11:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,10:30 pm to 11:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,11:00 pm to 11:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,11:00 pm to 11:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
2026-09-23,Wed,11:30 pm to 12:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,23 Sep 16:55
2026-09-23,Wed,11:30 pm to 12:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,23 Sep 16:55
