Date,Day,Slot Time,Venue,Court,Status,Price,Last checked
2026-09-18,Fri,6:30 am to 7:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,18 Sep 06:53
2026-09-18,Fri,7:00 am to 7:30 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,18 Sep 07:20
2026-09-18,Fri,7:00 pm to 7:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,18 Sep 19:21
2026-09-18,Fri,7:30 am to 8:00 am,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,18 Sep 07:56
2026-09-18,Fri,7:30 pm to 8:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,18 Sep 19:55
2026-09-18,Fri,8:00 pm to 8:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Booked,199,18 Sep 20:22
2026-09-18,Fri,8:30 pm to 9:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Booked,199,18 Sep 20:54
2026-09-18,Fri,9:00 pm to 9:30 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,18 Sep 21:21
2026-09-18,Fri,9:30 pm to 10:00 pm,Spodium Arena | Sector 29,Tennis Court (Clay),Not Booked,199,18 Sep 21:54
2026-09-18,Fri,10:00 am to 10:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 10:20
2026-09-18,Fri,10:00 pm to 10:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 22:19
2026-09-18,Fri,10:30 am to 11:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 10:53
2026-09-18,Fri,10:30 pm to 11:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 22:52
2026-09-18,Fri,11:00 am to 11:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 11:20
2026-09-18,Fri,11:00 pm to 11:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 23:18
2026-09-18,Fri,11:30 am to 12:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 11:59
2026-09-18,Fri,11:30 pm to 12:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 23:56
2026-09-18,Fri,12:00 am to 12:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 00:20
2026-09-18,Fri,12:00 pm to 12:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 12:23
2026-09-18,Fri,12:30 am to 1:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 00:53
2026-09-18,Fri,12:30 pm to 1:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 12:55
2026-09-18,Fri,1:00 am to 1:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 01:19
2026-09-18,Fri,1:00 pm to 1:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 13:20
2026-09-18,Fri,1:30 am to 2:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 01:55
2026-09-18,Fri,1:30 pm to 2:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 13:56
2026-09-18,Fri,2:00 am to 2:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 02:19
2026-09-18,Fri,2:00 pm to 2:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 14:22
2026-09-18,Fri,2:30 am to 3:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 02:54
2026-09-18,Fri,2:30 pm to 3:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 14:55
2026-09-18,Fri,3:00 am to 3:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 03:19
2026-09-18,Fri,3:00 pm to 3:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 15:21
2026-09-18,Fri,3:30 am to 4:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 03:53
2026-09-18,Fri,3:30 pm to 4:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 15:55
2026-09-18,Fri,4:00 am to 4:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 04:19
2026-09-18,Fri,4:00 pm to 4:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 16:20
2026-09-18,Fri,4:30 am to 5:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 04:51
2026-09-18,Fri,5:00 am to 5:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 05:19
2026-09-18,Fri,5:30 am to 6:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 05:19
2026-09-18,Fri,6:00 am to 6:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 06:23
2026-09-18,Fri,6:30 am to 7:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 06:53
2026-09-18,Fri,7:30 pm to 8:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 19:55
2026-09-18,Fri,8:00 pm to 8:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 20:22
2026-09-18,Fri,8:30 pm to 9:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 20:54
2026-09-18,Fri,9:00 am to 9:30 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 09:21
2026-09-18,Fri,9:00 pm to 9:30 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 21:21
2026-09-18,Fri,9:30 am to 10:00 am,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,150,18 Sep 09:55
2026-09-18,Fri,9:30 pm to 10:00 pm,Way To Slams Tennis Academy,Tennis (Clay Courts),Not Booked,300,18 Sep 21:54
2026-09-19,Sat,10:00 am to 11:00 am,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,19 Sep 10:53
2026-09-19,Sat,11:00 am to 12:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,19 Sep 11:58
2026-09-19,Sat,12:00 pm to 1:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,19 Sep 12:53
2026-09-19,Sat,1:00 pm to 2:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,19 Sep 13:55
2026-09-19,Sat,2:00 pm to 3:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,19 Sep 14:53
2026-09-19,Sat,3:00 pm to 4:00 pm,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,19 Sep 15:53
2026-09-19,Sat,9:00 am to 10:00 am,Apex Sports Academy | Noida,Tennis (Clay Courts),Filling Fast,400,19 Sep 09:54
2026-09-19,Sat,10:00 am to 10:30 am,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 10:19
2026-09-19,Sat,10:30 am to 11:00 am,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 10:53
2026-09-19,Sat,11:00 am to 11:30 am,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 11:19
2026-09-19,Sat,11:30 am to 12:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 11:58
2026-09-19,Sat,12:00 pm to 12:30 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 12:22
2026-09-19,Sat,12:30 pm to 1:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 12:53
2026-09-19,Sat,1:00 pm to 1:30 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 13:19
2026-09-19,Sat,1:30 pm to 2:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 13:55
2026-09-19,Sat,2:00 pm to 2:30 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 14:20
2026-09-19,Sat,2:30 pm to 3:00 pm,Global Sports Complex | Noida,Tennis Court,Not Booked,300,19 Sep 14:53
2026-09-19,Sat,3:00 pm to 3:30 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,19 Sep 15:19
2026-09-19,Sat,3:30 pm to 4:00 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,19 Sep 15:53
2026-09-19,Sat,4:00 pm to 4:30 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,19 Sep 16:19
2026-09-19,Sat,4:30 pm to 5:00 pm,Global Sports Complex | Noida,Tennis Court,Filling Fast,300,19 Sep 16:52
2026-09-19,Sat,6:00 pm to 6:30 pm,Global Sports Complex | Noida,Tennis Court,Booked,325,19 Sep 18:22
2026-09-19,Sat,6:30 pm to 7:00 pm,Global Sports Complex | Noida,Tennis Court,Booked,325,19 Sep 18:54
2026-09-19,Sat,3:00 pm to 4:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Not Booked,222,19 Sep 15:53
2026-09-19,Sat,4:00 pm to 5:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Booked,222,19 Sep 16:52
2026-09-19,Sat,5:00 pm to 6:00 pm,Indrayu Jeta Sports | Noida,Tennis (Acrylic Court),Booked,222,19 Sep 17:58
