Date,Day,Slot Time,Court 1,Court 2,Court 3,Court 4,Court 5,Last checked
21 Sep 2026,Mon,5:30 pm to 6:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,6:00 pm to 6:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,6:30 pm to 7:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,7:00 pm to 7:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,7:30 pm to 8:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,8:00 pm to 8:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,8:30 pm to 9:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,9:00 pm to 9:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,9:30 pm to 10:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,10:00 pm to 10:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,10:30 pm to 11:00 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,11:00 pm to 11:30 pm,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
21 Sep 2026,Mon,11:30 pm to 12:00 am,Not Booked,Not Booked,Not Booked,Not Booked,Not Booked,21 Sep 12:12
